sequence	migration_status	skip_reason	source_sha	source_parent_shas	source_author_name	source_author_email	source_author_date	source_committer_name	source_committer_email	source_committer_date	source_subject	target_pr_number	target_pr_url	target_branch	target_base_branch	target_commit_sha
011	applied	NA	02339de69fadb4dca41c6f0f81e4a8f8f53b9b6d	08f40e992a2cbadb0942c81127b46cabedc92922	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-11T22:31:17-07:00	GitHub	noreply@github.com	2026-06-11T22:31:17-07:00	Update Environment.md	12	https://github.com/ElegantLin/PersonaBench/pull/12	codex/matraix-main-011-02339de69f	codex/matraix-main-010-08f40e992a	b544c405267a1c66156dc2d336c7f3a1c80d4fba
012	applied	NA	daf87e991bf51b0bf5bcabee4645a6b463257579	02339de69fadb4dca41c6f0f81e4a8f8f53b9b6d	Xiaomin Li	xiaominli	2026-06-11T22:47:56-07:00	Xiaomin Li	xiaominli	2026-06-11T22:47:56-07:00	docs: restructure README into per-team folders and refine contribution guide	13	https://github.com/ElegantLin/PersonaBench/pull/13	codex/matraix-main-012-daf87e991b	codex/matraix-main-011-02339de69f	0580049979acaef52d425d5defd04cb4220f691c
013	applied	NA	44d2f03635e1be7dfe59ea3d7e967a1201383502	daf87e991bf51b0bf5bcabee4645a6b463257579	Xiaomin Li	xiaominli	2026-06-11T22:52:17-07:00	Xiaomin Li	xiaominli	2026-06-11T22:52:17-07:00	docs: unify license references to MIT in Contribution.md	14	https://github.com/ElegantLin/PersonaBench/pull/14	codex/matraix-main-013-44d2f03635	codex/matraix-main-012-daf87e991b	fa6fc00df21adfb3305bf52d9dc35159dd3f10e1
014	applied	NA	4b04acf5f0e49e6a7d1a645317f47fb1f41c6932	44d2f03635e1be7dfe59ea3d7e967a1201383502	Xiaomin Li	xiaominli	2026-06-14T13:06:51-07:00	Xiaomin Li	xiaominli	2026-06-14T13:06:51-07:00	Add team PLAN.md files and status-update folders; finalize dataset names and Chatbot env type	15	https://github.com/ElegantLin/PersonaBench/pull/15	codex/matraix-main-014-4b04acf5f0	codex/matraix-main-013-44d2f03635	bd80d1db39c7f80866d33092ce5cda5c68959b9c
015	applied	NA	efe0f96bf4416e5f2b13f23b09b1f4e443a05c95	4b04acf5f0e49e6a7d1a645317f47fb1f41c6932 033793b0b6b06bbb1fc7fe031269ae6dca2460da	Xiaomin Li	83258184+XiaominLi1998@users.noreply.github.com	2026-06-14T15:46:45-07:00	GitHub	noreply@github.com	2026-06-14T15:46:45-07:00	Merge pull request #5 from MatrAIx-ai/lit-review/persona	16	https://github.com/ElegantLin/PersonaBench/pull/16	codex/matraix-main-015-efe0f96bf4	codex/matraix-main-014-4b04acf5f0	3131a852a3da6821432117edcc38474e8dc42ae8
016	applied	NA	ba92b3956a670f02fafaaa937016b84111655c73	efe0f96bf4416e5f2b13f23b09b1f4e443a05c95 fc78b9308432e8f0542fcab42feb6dca6e4fcfc9	Xiaomin Li	83258184+XiaominLi1998@users.noreply.github.com	2026-06-14T15:47:37-07:00	GitHub	noreply@github.com	2026-06-14T15:47:37-07:00	Merge pull request #7 from MatrAIx-ai/lit-review/application	17	https://github.com/ElegantLin/PersonaBench/pull/17	codex/matraix-main-016-ba92b3956a	codex/matraix-main-015-efe0f96bf4	be38a4bde9a53f31c8c92a048022ad2f7045988a
017	applied	NA	591d1ec29626f59bfb7aebc3ae79598dea11649c	ba92b3956a670f02fafaaa937016b84111655c73	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-14T16:13:32-07:00	GitHub	noreply@github.com	2026-06-14T16:13:32-07:00	Update PLAN.md	18	https://github.com/ElegantLin/PersonaBench/pull/18	codex/matraix-main-017-591d1ec296	codex/matraix-main-016-ba92b3956a	3bfe48011b2433fc4b36358e5b527371ae3e7cd0
018	applied	NA	4a6c23edf9e000a27a0d165110d0d5b98d2bb8af	591d1ec29626f59bfb7aebc3ae79598dea11649c	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-14T16:15:43-07:00	GitHub	noreply@github.com	2026-06-14T16:15:43-07:00	Update PLAN.md	19	https://github.com/ElegantLin/PersonaBench/pull/19	codex/matraix-main-018-4a6c23edf9	codex/matraix-main-017-591d1ec296	c003058b1d95a7661ba7ae8b49a34c8ea8fd633f
019	applied	NA	856223952ba379fbf5b03f0096414dcb27a23fb3	4a6c23edf9e000a27a0d165110d0d5b98d2bb8af	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-14T16:21:15-07:00	GitHub	noreply@github.com	2026-06-14T16:21:15-07:00	Update PLAN.md	20	https://github.com/ElegantLin/PersonaBench/pull/20	codex/matraix-main-019-856223952b	codex/matraix-main-018-4a6c23edf9	fc8eca5022bf4c69bfc94e4579a1a2106866a211
020	applied	NA	ea31e7bd616cf6ec550179bfd11ed5cf1d5872a6	856223952ba379fbf5b03f0096414dcb27a23fb3	zzwjames	63535406+zzwjames@users.noreply.github.com	2026-06-14T16:24:49-07:00	GitHub	noreply@github.com	2026-06-14T16:24:49-07:00	Update PLAN.md	21	https://github.com/ElegantLin/PersonaBench/pull/21	codex/matraix-main-020-ea31e7bd61	codex/matraix-main-019-856223952b	389b7ed4ba77c82c2df078d1f4c4409054de4a4f
021	applied	NA	71a49ca9ad1e1c98e994c7be42ff9f65755b2ae3	ea31e7bd616cf6ec550179bfd11ed5cf1d5872a6	Xiaomin Li	xiaominli	2026-06-14T18:04:08-07:00	Xiaomin Li	xiaominli	2026-06-14T18:04:08-07:00	Switch status updates from per-person MD files to GitHub Issues	22	https://github.com/ElegantLin/PersonaBench/pull/22	codex/matraix-main-021-71a49ca9ad	codex/matraix-main-020-ea31e7bd61	72b236b6f77bdbff0f04c7c957c2e77903b63fcf
022	applied	NA	a604217719b34735d90d64fb7431fa48aa8431fd	71a49ca9ad1e1c98e994c7be42ff9f65755b2ae3	Xiaomin Li	xiaominli	2026-06-14T18:16:16-07:00	Xiaomin Li	xiaominli	2026-06-14T18:16:16-07:00	Align status-tracking docs with GitHub Issues; fix emoji	23	https://github.com/ElegantLin/PersonaBench/pull/23	codex/matraix-main-022-a604217719	codex/matraix-main-021-71a49ca9ad	fcee1a4e2acc81626fd43d7d00e37be26da34d3a
023	applied	NA	9d188dd03dc02db788499496f8628a7bc91ae436	a604217719b34735d90d64fb7431fa48aa8431fd	Xiaomin Li	xiaominli	2026-06-14T18:24:20-07:00	Xiaomin Li	xiaominli	2026-06-14T18:24:20-07:00	Rename Literature Review to Related Work in PLAN files	24	https://github.com/ElegantLin/PersonaBench/pull/24	codex/matraix-main-023-9d188dd03d	codex/matraix-main-022-a604217719	a0d343a4abb64021a37476ec9ed2b8d1735f9582
024	applied	NA	1e94aab5183c37a4b92b5beaa609fc70f4f557fa	9d188dd03dc02db788499496f8628a7bc91ae436	Xiaomin Li	xiaominli	2026-06-14T18:31:05-07:00	Xiaomin Li	xiaominli	2026-06-14T18:31:05-07:00	Document status-update issue conventions (long-lived log, avoid auto-close keywords)	25	https://github.com/ElegantLin/PersonaBench/pull/25	codex/matraix-main-024-1e94aab518	codex/matraix-main-023-9d188dd03d	c8389dca0afc9c4bfe975056ce9881188487d65f
025	applied	NA	22084fef881fbd018cff1e0a6976526531c405d4	1e94aab5183c37a4b92b5beaa609fc70f4f557fa	Xiaomin Li	xiaominli	2026-06-14T18:33:31-07:00	Xiaomin Li	xiaominli	2026-06-14T18:33:31-07:00	Document issue label conventions	26	https://github.com/ElegantLin/PersonaBench/pull/26	codex/matraix-main-025-22084fef88	codex/matraix-main-024-1e94aab518	fb84f596f3f3e6ccc4c1e41858179cc9fa402ae5
026	applied	NA	97bbe3e9666c5781186d637f1f87e1ee8e6e82af	22084fef881fbd018cff1e0a6976526531c405d4	Xiaomin Li	xiaominli	2026-06-14T18:45:39-07:00	Xiaomin Li	xiaominli	2026-06-14T18:45:39-07:00	Remind contributors to keep a labeled status-update issue in each PLAN	27	https://github.com/ElegantLin/PersonaBench/pull/27	codex/matraix-main-026-97bbe3e966	codex/matraix-main-025-22084fef88	604bc7db94b092149e53b797f7a36db8070436a2
027	applied	NA	3efb36b90d24fab955921d825d3b66d35b702593	97bbe3e9666c5781186d637f1f87e1ee8e6e82af	Xiaomin Li	xiaominli	2026-06-14T18:54:11-07:00	Xiaomin Li	xiaominli	2026-06-14T18:54:11-07:00	Clarify publication plan: two initial papers plus future work	28	https://github.com/ElegantLin/PersonaBench/pull/28	codex/matraix-main-027-3efb36b90d	codex/matraix-main-026-97bbe3e966	980df07b1bf56f7801e9d585b53b9460413f5d2e
028	skipped	empty-diff	30e1e5a4992c8c207a6d49480d757b84121352bd	3efb36b90d24fab955921d825d3b66d35b702593	Xiaomin Li	83258184+XiaominLi1998@users.noreply.github.com	2026-06-14T18:57:05-07:00	Xiaomin Li	83258184+XiaominLi1998@users.noreply.github.com	2026-06-14T18:57:05-07:00	Test commit identity	NA	NA	NA	NA	NA
029	applied	NA	8f86c0e86b081d5b7925d0a79446e8883930b8d3	30e1e5a4992c8c207a6d49480d757b84121352bd	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-14T19:51:14-07:00	GitHub	noreply@github.com	2026-06-14T19:51:14-07:00	Update PLAN.md	29	https://github.com/ElegantLin/PersonaBench/pull/29	codex/matraix-main-029-8f86c0e86b	codex/matraix-main-027-3efb36b90d	9c95ddcf6b01df82d614892d64a9b13687f0a953
030	applied	NA	d2660cf63629472ec2971ade1995ef416adab5e5	8f86c0e86b081d5b7925d0a79446e8883930b8d3	Elizabeth	131422866+elizabeth-fan@users.noreply.github.com	2026-06-14T23:53:39-07:00	GitHub	noreply@github.com	2026-06-14T23:53:39-07:00	Update owner names in PLAN.md	30	https://github.com/ElegantLin/PersonaBench/pull/30	codex/matraix-main-030-d2660cf636	codex/matraix-main-029-8f86c0e86b	a2d5155b90b95c2b53c98ae38bee5810487be010
031	applied	NA	660a04a0dcfbb78d788945fcc931123526f2b36d	d2660cf63629472ec2971ade1995ef416adab5e5	Elizabeth	131422866+elizabeth-fan@users.noreply.github.com	2026-06-14T23:55:19-07:00	GitHub	noreply@github.com	2026-06-14T23:55:19-07:00	Update owner names in PLAN.md	31	https://github.com/ElegantLin/PersonaBench/pull/31	codex/matraix-main-031-660a04a0dc	codex/matraix-main-030-d2660cf636	d41d421f62bc244d6eda1e4fffdd10c55159a1da
032	applied	NA	bb31dd1384fc15b535733f7223e44bba970c88e7	660a04a0dcfbb78d788945fcc931123526f2b36d	Elizabeth	131422866+elizabeth-fan@users.noreply.github.com	2026-06-15T01:57:09-07:00	GitHub	noreply@github.com	2026-06-15T01:57:09-07:00	Adding summary on TinyTroupe Project	32	https://github.com/ElegantLin/PersonaBench/pull/32	codex/matraix-main-032-bb31dd1384	codex/matraix-main-031-660a04a0dc	d482b50687726f49c4b2541e6efffd564054247d
033	applied	NA	bce8e99823668582aeb2fd27cff1d8eb70ab6167	bb31dd1384fc15b535733f7223e44bba970c88e7	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-15T05:41:25-07:00	GitHub	noreply@github.com	2026-06-15T05:41:25-07:00	Update PLAN.md	33	https://github.com/ElegantLin/PersonaBench/pull/33	codex/matraix-main-033-bce8e99823	codex/matraix-main-032-bb31dd1384	2f90a0b10d86dcf168c5c006d1299317227c23f9
034	applied	NA	0f24661deb37d1ab133931539c4c0b370d6e4f59	bce8e99823668582aeb2fd27cff1d8eb70ab6167	Yuexing Hao	yh727@cornell.edu	2026-06-15T12:55:48-07:00	GitHub	noreply@github.com	2026-06-15T12:55:48-07:00	Create CODEOWNERS	34	https://github.com/ElegantLin/PersonaBench/pull/34	codex/matraix-main-034-0f24661deb	codex/matraix-main-033-bce8e99823	a183ec9499d1df5135385019f5a56dd13c8ae344
035	applied	NA	6e601414c755af92572334531d8c4fadd5d5d022	0f24661deb37d1ab133931539c4c0b370d6e4f59	Yuexing Hao	yh727@cornell.edu	2026-06-15T12:57:05-07:00	GitHub	noreply@github.com	2026-06-15T12:57:05-07:00	Update CODEOWNERS	35	https://github.com/ElegantLin/PersonaBench/pull/35	codex/matraix-main-035-6e601414c7	codex/matraix-main-034-0f24661deb	41902b8102a9ced47ec1cb7c49cd024f9ffe4e44
036	applied	NA	b7b86cf7121d3b152e2fb383098be453cd429281	6e601414c755af92572334531d8c4fadd5d5d022	Jianheng Hou	jianhenh@example.com	2026-06-15T13:09:10-07:00	Jianheng Hou	jianhenh@example.com	2026-06-15T13:09:10-07:00	Harbor-based MatrAIx runtime and reference stack.	36	https://github.com/ElegantLin/PersonaBench/pull/36	codex/matraix-main-036-b7b86cf712	codex/matraix-main-035-6e601414c7	0aba09d3c82208c09c53fc94123564d7d8b9fb6e
037	skipped	excluded-dangerous-scaffold-removal	06a5450001128b696e4116176c5cf00a9a0734ae	b7b86cf7121d3b152e2fb383098be453cd429281	Jianheng Hou	jianhenh@example.com	2026-06-15T16:42:23-07:00	Jianheng Hou	jianhenh@example.com	2026-06-15T16:42:23-07:00	Remove legacy scaffold dirs from old MatrAIx main.	NA	NA	NA	NA	NA
038	applied	NA	11de174dad48935a223deec35a1d3b862b3e55a5	06a5450001128b696e4116176c5cf00a9a0734ae 0f5de88e20f8334d4c483b07d8f21438510ab2c1	Jianheng Hou	jianhenh@example.com	2026-06-15T16:45:35-07:00	Jianheng Hou	jianhenh@example.com	2026-06-15T16:45:35-07:00	Merge MatrAIx-ai/main and resolve PLAN conflicts.	37	https://github.com/ElegantLin/PersonaBench/pull/37	codex/matraix-main-038-11de174dad	codex/matraix-main-036-b7b86cf712	d058cbed7f27cf5d377a9006eb8b6e5956f00a39
039	applied	NA	45b3c04809536f5c40f0f1f65db748120227abbd	11de174dad48935a223deec35a1d3b862b3e55a5	Jianheng Hou	jianhenh@example.com	2026-06-15T16:45:59-07:00	Jianheng Hou	jianhenh@example.com	2026-06-15T16:45:59-07:00	Restore TinyTroupe entry in docs/personas/PLAN.md from org main.	38	https://github.com/ElegantLin/PersonaBench/pull/38	codex/matraix-main-039-45b3c04809	codex/matraix-main-038-11de174dad	1cecbd21e95e17a1b9d52405b3b750f13eba19e8
040	applied	NA	dd0f0b560de3e4be4c66e78816513ec01a95bb32	45b3c04809536f5c40f0f1f65db748120227abbd 940b52b08a86193ad84d26ad4f9dca86ccd1b5b5	Jianheng Hou	jianhenh@example.com	2026-06-15T17:07:16-07:00	Jianheng Hou	jianhenh@example.com	2026-06-15T17:07:16-07:00	Merge remote-tracking branch 'matraix-ai/main' into feat/harbor-matraix-squash	39	https://github.com/ElegantLin/PersonaBench/pull/39	codex/matraix-main-040-dd0f0b560d	codex/matraix-main-039-45b3c04809	aa561a4e7b313a9f8dc0fd84ea2555f86fdd91d5
041	applied	NA	dfadd9efdf53ada923bad3ffad98e77db1b83cf0	dd0f0b560de3e4be4c66e78816513ec01a95bb32 5ab7bf11f217ea8cf09e996ddd21ed555380d674	Jianheng Hou	jianhenh@example.com	2026-06-16T17:41:58-07:00	Jianheng Hou	jianhenh@example.com	2026-06-16T17:41:58-07:00	Merge remote-tracking branch 'matraix-ai/main' into feat/harbor-matraix-squash	40	https://github.com/ElegantLin/PersonaBench/pull/40	codex/matraix-main-041-dfadd9efdf	codex/matraix-main-040-dd0f0b560d	d1f8998b5f8bfa109c41ec776d3e48051eec842d
042	applied	NA	ddc4ca11aa7ac85ae899cef0af8c0f1f97a3b3a0	dfadd9efdf53ada923bad3ffad98e77db1b83cf0 e96d00c92324dbccf9e051a76836c41a53de4a79	Jianheng Hou	jianhenh@example.com	2026-06-16T23:11:28-07:00	Jianheng Hou	jianhenh@example.com	2026-06-16T23:11:28-07:00	Merge matraix-ai/main: lit review, PLAN updates, dimensions.json	41	https://github.com/ElegantLin/PersonaBench/pull/41	codex/matraix-main-042-ddc4ca11aa	codex/matraix-main-041-dfadd9efdf	e43c761d53b42992148b6b511b1bcdc4b43a3282
043	applied	NA	6897d53dabfc128bacbd31415d5a7350b55d8816	ddc4ca11aa7ac85ae899cef0af8c0f1f97a3b3a0	Jianheng Hou	jianhenh@example.com	2026-06-16T23:13:31-07:00	Jianheng Hou	jianhenh@example.com	2026-06-16T23:13:31-07:00	Expand MatrAIx stack: persona rename, env tasks, example jobs, and viewer.	42	https://github.com/ElegantLin/PersonaBench/pull/42	codex/matraix-main-043-6897d53dab	codex/matraix-main-042-ddc4ca11aa	20f7fe6832e35e67e2c4bb4b0621a460aa798772
044	applied	NA	d173e8139fe02faa9ed9b1d21d50ae1b2f3a155c	6897d53dabfc128bacbd31415d5a7350b55d8816	Jianheng Hou	jianhenh@example.com	2026-06-22T00:13:01-07:00	Jianheng Hou	jianhenh@example.com	2026-06-22T00:13:01-07:00	Restructure MatrAIx layout: application tasks, persona bench, and job recipes.	43	https://github.com/ElegantLin/PersonaBench/pull/43	codex/matraix-main-044-d173e8139f	codex/matraix-main-043-6897d53dab	5f0ee7ed3b710c0c92d902e071514a46d65335aa
045	applied	NA	e3a57ecfa1be7e9e24d1f800c4fd00dddefbae96	d173e8139fe02faa9ed9b1d21d50ae1b2f3a155c	Jianheng Hou	jianhenh@example.com	2026-06-22T01:59:01-07:00	Jianheng Hou	jianhenh@example.com	2026-06-22T01:59:01-07:00	Add persona getting-started, standardize bench-dev-2000, and gitignore generated jobs.	44	https://github.com/ElegantLin/PersonaBench/pull/44	codex/matraix-main-045-e3a57ecfa1	codex/matraix-main-044-d173e8139f	e9f130c8e60e20997578cf09b48b1b9c87bbb54b
046	applied	NA	b9cf5a1be4baeda410a460a5ff6dcb7a39f898b1	e3a57ecfa1be7e9e24d1f800c4fd00dddefbae96	Jianheng Hou	jianhenh@example.com	2026-06-22T02:01:43-07:00	Jianheng Hou	jianhenh@example.com	2026-06-22T02:01:43-07:00	Split Quick start into Application and Persona bench survey examples.	45	https://github.com/ElegantLin/PersonaBench/pull/45	codex/matraix-main-046-b9cf5a1be4	codex/matraix-main-045-e3a57ecfa1	b1f09c70171105960f48dc2f13bd61178037b58c
047	applied	NA	d30be9e47667e016286ec196e1e8080c120ebfe0	b9cf5a1be4baeda410a460a5ff6dcb7a39f898b1	Jianheng Hou	jianhenh@example.com	2026-06-24T14:09:37-07:00	Jianheng Hou	jianhenh@example.com	2026-06-24T14:09:37-07:00	Track checked-in batch job examples; gitignore other generated recipes.	46	https://github.com/ElegantLin/PersonaBench/pull/46	codex/matraix-main-047-d30be9e476	codex/matraix-main-046-b9cf5a1be4	524772d3ed990ccea1d8c6a7f3285434746ff878
048	applied	NA	4519bb76aba8c4dd33af0b71877cc5eddbbf49f4	d30be9e47667e016286ec196e1e8080c120ebfe0	Jianheng Hou	jianhenh@example.com	2026-06-24T14:25:40-07:00	Jianheng Hou	jianhenh@example.com	2026-06-24T14:25:40-07:00	Move persona bench grounding spec into per-task grounding.toml.	47	https://github.com/ElegantLin/PersonaBench/pull/47	codex/matraix-main-048-4519bb76ab	codex/matraix-main-047-d30be9e476	4cd6c4c0a0799f33f6844640cc68a1ce45c643c2
049	applied	NA	7ef5ff4a8cc9ef890a0d697be8dd96127fdbb2d0	4519bb76aba8c4dd33af0b71877cc5eddbbf49f4	Jianheng Hou	jianhenh@example.com	2026-06-25T23:34:31-07:00	Jianheng Hou	jianhenh@example.com	2026-06-25T23:34:31-07:00	Add persona attribute pool, validators, contributing guide, and GitHub review config.	48	https://github.com/ElegantLin/PersonaBench/pull/48	codex/matraix-main-049-7ef5ff4a8c	codex/matraix-main-048-4519bb76ab	950adc7f4bd5c21ae270aeb77d51de87bd3376e8
050	applied	NA	5bfc08a86cc9b40be59dd7898cb89b0316bb334b	7ef5ff4a8cc9ef890a0d697be8dd96127fdbb2d0	Jianheng Hou	jianhenh@example.com	2026-06-25T23:42:23-07:00	Jianheng Hou	jianhenh@example.com	2026-06-25T23:42:23-07:00	Mark persona getting-started as draft; de-emphasize it in README.	49	https://github.com/ElegantLin/PersonaBench/pull/49	codex/matraix-main-050-5bfc08a86c	codex/matraix-main-049-7ef5ff4a8c	9802fd473da11a76b42d8faa19c768a1413ddf36
051	applied	NA	e479b38e1b7526104f2f22f35375e5fa75fd1fd9	5bfc08a86cc9b40be59dd7898cb89b0316bb334b	Jianheng Hou	jianhenh@example.com	2026-06-25T23:48:16-07:00	Jianheng Hou	jianhenh@example.com	2026-06-25T23:48:16-07:00	De-emphasize persona bench quick start in README; flag getting-started as draft.	50	https://github.com/ElegantLin/PersonaBench/pull/50	codex/matraix-main-051-e479b38e1b	codex/matraix-main-050-5bfc08a86c	0141ea709e088e263f61726b0cffe85ef59d65f8
052	applied	NA	25ec7b70045825442e89daa8ae9d53a9cccd0fac	e479b38e1b7526104f2f22f35375e5fa75fd1fd9	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-25T23:54:08-07:00	GitHub	noreply@github.com	2026-06-25T23:54:08-07:00	Update Persona team layout in README with Under Develop labels. (#93)	51	https://github.com/ElegantLin/PersonaBench/pull/51	codex/matraix-main-052-25ec7b7004	codex/matraix-main-051-e479b38e1b	5d1f9361711a921cf9a932c9e1a6f87ee0254e6c
053	applied	NA	0510a093af33118d107ad2af1f93134d6fd45720	25ec7b70045825442e89daa8ae9d53a9cccd0fac	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-26T01:49:27-07:00	GitHub	noreply@github.com	2026-06-26T01:49:27-07:00	Fix CI, split application/persona task catalogs, dimensions schema 1.0 (#119)	52	https://github.com/ElegantLin/PersonaBench/pull/52	codex/matraix-main-053-0510a093af	codex/matraix-main-052-25ec7b7004	074e7997b508a60b6e21edfb67636623d7ca6d7c
054	applied	NA	55ba42d1ea595bd576ed47e2780cc917d0be9c5c	0510a093af33118d107ad2af1f93134d6fd45720	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-26T02:03:44-07:00	GitHub	noreply@github.com	2026-06-26T02:03:44-07:00	Fix Windows CI and type-check scope for container runners (#120)	53	https://github.com/ElegantLin/PersonaBench/pull/53	codex/matraix-main-054-55ba42d1ea	codex/matraix-main-053-0510a093af	0dc393a43d7082833a7bcbe10ba573ebec94c15e
055	applied	NA	3769503368f74acf763adb5cc077182bb9629860	55ba42d1ea595bd576ed47e2780cc917d0be9c5c	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-26T02:11:15-07:00	GitHub	noreply@github.com	2026-06-26T02:11:15-07:00	Fix Windows path assertions in matraix tests (#121)	54	https://github.com/ElegantLin/PersonaBench/pull/54	codex/matraix-main-055-3769503368	codex/matraix-main-054-55ba42d1ea	a70f2ded03713e9d5536f2d2dec69acca71766e9
056	applied	NA	9d80a6235283f293dce32a6f02f333b3e45c0437	3769503368f74acf763adb5cc077182bb9629860	JianhengHou	36116720+JianhengHou@users.noreply.github.com	2026-06-26T02:55:43-07:00	GitHub	noreply@github.com	2026-06-26T02:55:43-07:00	Add harbor-smoke to CI and static guards for MatrAIx tasks (#122)	55	https://github.com/ElegantLin/PersonaBench/pull/55	codex/matraix-main-056-9d80a62352	codex/matraix-main-055-3769503368	48b6977f9d9106243d49c4a4351891c77d67bd6d
