trial_id,persona_id,risk_tolerance,decision_style,risk_posture,exploration_style,winner,chip_delta,pot_size,strategy_basis,reward
texas-holdem_web__39FeuqE,0464,Cautious,Analytical,balanced,quick_pick,player,70,220,hand_strength,1.0
texas-holdem_web__3AkxvzN,0719,Risk-tolerant,Consensus-driven,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3Dc2eSd,0249,Cautious,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3Df4YAs,0562,Cautious,Analytical,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__3HAfGk7,0912,Risk-tolerant,Consensus-driven,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__3JtsRAr,0518,Risk-tolerant,Directive,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__3LbSuGq,0906,Risk-seeking,Analytical,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__3MuhYFn,0193,Risk-seeking,Intuitive,opportunistic,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__3MxcW4z,0924,Cautious,Intuitive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3Tt9nzW,0537,Risk-tolerant,Deliberative,opportunistic,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__3YM8juS,0335,Risk-tolerant,Analytical,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3fRn7dq,0549,Risk-seeking,Analytical,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3g73Wtb,0725,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3ixcbVp,0636,Risk-tolerant,Intuitive,opportunistic,quick_pick,player,470,940,hand_strength,1.0
texas-holdem_web__3jb4atZ,0264,Risk-tolerant,Directive,opportunistic,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__3maynkz,0022,Risk-tolerant,Analytical,balanced,compared_multiple,player,570,1140,hand_strength,1.0
texas-holdem_web__3pi6G4J,0399,Risk-seeking,Intuitive,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__3t2S5ZR,0419,Risk-averse,Intuitive,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__3uVUTSo,0551,Balanced,Deliberative,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3veAV9i,0460,Risk-averse,Directive,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__3zVj6wz,0923,Risk-averse,Directive,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4C7Wr4Y,0671,Risk-averse,Consensus-driven,risk_averse,compared_multiple,opponent,-130,320,hand_strength,1.0
texas-holdem_web__4Ecx3WF,0440,Cautious,Consensus-driven,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4GJqtrT,0049,Risk-seeking,Intuitive,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__4H4wYJV,0915,Balanced,Directive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4SXdqyD,0907,Risk-averse,Directive,risk_averse,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__4TpsiBW,0930,Risk-averse,Directive,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__4YKvGWQ,0210,Risk-seeking,Consensus-driven,unknown,unknown,opponent,-10,30,bluff,1.0
texas-holdem_web__4Zpsh8S,0159,Risk-seeking,Directive,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__4aLuY9F,0242,Risk-tolerant,Analytical,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__4daupRd,0871,Balanced,Deliberative,balanced,compared_multiple,tie,0,40,hand_strength,1.0
texas-holdem_web__4jQid4F,0733,Balanced,Analytical,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4qC7Syb,0901,Risk-averse,Consensus-driven,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4qSM9kU,0847,Risk-tolerant,Deliberative,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__4reY3xF,0690,Risk-seeking,Directive,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__4sPj7Vm,0206,Risk-seeking,Deliberative,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__4xbTKiC,0476,Risk-tolerant,Analytical,risk_seeking,compared_multiple,opponent,-70,140,hand_strength,1.0
texas-holdem_web__4yi3bzL,0504,Risk-averse,Intuitive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4zKJWsu,0020,Balanced,Intuitive,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__59bZGgp,0937,Risk-averse,Directive,risk_averse,compared_multiple,player,70,140,hand_strength,1.0
texas-holdem_web__5BExjDn,0102,Risk-seeking,Analytical,opportunistic,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5KAU2gC,0835,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5MG8jEm,0699,Risk-averse,Intuitive,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5cufBAb,0153,Risk-tolerant,Deliberative,balanced,hesitant,player,20,40,hand_strength,1.0
texas-holdem_web__5dZrTPu,0164,Cautious,Intuitive,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__5fxVD3s,0135,Risk-averse,Directive,risk_averse,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__5gsGend,0588,Risk-seeking,Deliberative,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5n5egmi,0119,Risk-tolerant,Deliberative,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5n7sxs5,0522,Balanced,Deliberative,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__5sJnhii,0478,Cautious,Deliberative,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5ucLF23,0585,Risk-averse,Consensus-driven,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__5vmYcbP,0172,Risk-seeking,Directive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__5yFF4QN,0746,Risk-averse,Deliberative,risk_averse,quick_pick,player,70,210,hand_strength,1.0
texas-holdem_web__5ztsUqS,0276,Risk-seeking,Analytical,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__6BDZ9He,0692,Balanced,Directive,balanced,compared_multiple,tie,0,160,hand_strength,1.0
texas-holdem_web__6CJc2iZ,0361,Risk-seeking,Analytical,risk_seeking,compared_multiple,opponent,-260,520,hand_strength,1.0
texas-holdem_web__6G5BkJp,0027,Risk-seeking,Deliberative,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__6HJBKv5,0194,Balanced,Intuitive,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__6HdsRb6,0496,Balanced,Intuitive,balanced,compared_multiple,opponent,-70,200,hand_strength,1.0
texas-holdem_web__6LYwVDd,0660,Risk-tolerant,Analytical,balanced,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__6LZYZ5r,0790,Risk-tolerant,Analytical,risk_seeking,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__6QY99Mc,0975,Risk-tolerant,Deliberative,risk_averse,deep_research,opponent,-20,100,hand_strength,1.0
texas-holdem_web__6VKcjYT,0068,Cautious,Intuitive,balanced,compared_multiple,player,180,360,hand_strength,1.0
texas-holdem_web__6VWGjiy,0151,Balanced,Consensus-driven,balanced,quick_pick,player,70,220,hand_strength,1.0
texas-holdem_web__6cMBFia,0319,Balanced,Deliberative,balanced,compared_multiple,player,260,520,hand_strength,1.0
texas-holdem_web__6mnGKXY,0735,Balanced,Deliberative,balanced,compared_multiple,opponent,-190,380,hand_strength,1.0
texas-holdem_web__6p3x6ks,0561,Risk-averse,Consensus-driven,risk_averse,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__6wHiSzT,0393,Risk-seeking,Intuitive,risk_seeking,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__6x6Bvd5,0225,Balanced,Consensus-driven,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__7465jmi,0170,Risk-seeking,Deliberative,balanced,compared_multiple,player,20,60,hand_strength,1.0
texas-holdem_web__7BBP6ae,0325,Risk-tolerant,Analytical,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__7QuMHwQ,0878,Balanced,Analytical,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__7R9Ntmn,0442,Risk-seeking,Directive,risk_seeking,compared_multiple,player,260,520,hand_strength,1.0
texas-holdem_web__7Z5wi7u,0786,Risk-averse,Intuitive,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__7faZpKz,0555,Balanced,Deliberative,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__7fdfJFv,0433,Risk-averse,Consensus-driven,balanced,quick_pick,player,20,70,hand_strength,1.0
texas-holdem_web__7gTniJc,0630,Risk-tolerant,Deliberative,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7ibN3s2,0250,Risk-tolerant,Intuitive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7kCrxRU,0519,Risk-tolerant,Consensus-driven,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__7kUyecG,0782,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7qquJ5X,0332,Balanced,Consensus-driven,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__7u9decu,0818,Risk-seeking,Intuitive,risk_seeking,quick_pick,tie,0,400,hand_strength,1.0
texas-holdem_web__89Skfhq,0710,Risk-averse,Consensus-driven,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__8NX64Aa,0619,Cautious,Directive,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__8SA3hhS,0751,Risk-averse,Intuitive,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__8TUizWo,0707,Risk-averse,Analytical,balanced,compared_multiple,player,70,220,hand_strength,1.0
texas-holdem_web__8WTfgn2,0701,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__8WuLqNz,0060,Balanced,Analytical,risk_averse,quick_pick,opponent,-20,40,pot_control,1.0
texas-holdem_web__8gurP3J,0793,Risk-seeking,Analytical,risk_seeking,compared_multiple,player,70,210,hand_strength,1.0
texas-holdem_web__8iX3emU,0640,Risk-seeking,Analytical,opportunistic,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__8jNGPpV,0130,Balanced,Analytical,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__8r5t4Ws,0495,Risk-seeking,Deliberative,opportunistic,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__8syb4QG,0578,Risk-seeking,Intuitive,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__8xen26q,0941,Risk-seeking,Deliberative,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__92Zcqu5,0846,Risk-seeking,Analytical,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__9AJY2JH,0301,Risk-averse,Intuitive,risk_averse,compared_multiple,opponent,-10,30,bluff,1.0
texas-holdem_web__9De4sjd,0104,Risk-seeking,Deliberative,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9MNPTxD,0808,Balanced,Analytical,risk_seeking,quick_pick,opponent,-80,220,bluff,1.0
texas-holdem_web__9MhnDqc,0689,Balanced,Deliberative,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__9PVBfgS,0796,Risk-seeking,Deliberative,risk_seeking,compared_multiple,player,20,60,hand_strength,1.0
texas-holdem_web__9Tqex4c,0891,Cautious,Intuitive,balanced,compared_multiple,opponent,-80,220,pot_odds,1.0
texas-holdem_web__9UUafLB,0204,Balanced,Deliberative,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__9b2Xair,0475,Risk-seeking,Analytical,opportunistic,deep_research,tie,0,160,hand_strength,1.0
texas-holdem_web__9gmwYeY,0738,Risk-tolerant,Directive,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9jMBEtC,0607,Cautious,Analytical,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__9nsfmNV,0828,Risk-averse,Directive,risk_averse,quick_pick,player,20,60,hand_strength,1.0
texas-holdem_web__9uvszf7,0932,Risk-tolerant,Intuitive,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__A9m8zQ2,0455,Balanced,Analytical,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AGtLtgB,0545,Balanced,Deliberative,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__AUxxmoA,0922,Balanced,Intuitive,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__AWp9S8g,0981,Risk-seeking,Deliberative,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AZ8HnMa,0574,Risk-tolerant,Directive,opportunistic,quick_pick,player,20,100,hand_strength,1.0
texas-holdem_web__Ac4hBAW,0108,Risk-seeking,Intuitive,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__AeT3Q7G,0655,Cautious,Deliberative,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__AhPpSJg,0468,Risk-seeking,Deliberative,risk_seeking,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__AkBNZTE,0494,Balanced,Deliberative,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__AstPq3n,0387,Risk-seeking,Directive,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AtAYJPg,0356,Cautious,Deliberative,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__Av3YKqJ,0261,Risk-tolerant,Intuitive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__AzrGk3V,0667,Risk-tolerant,Deliberative,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__B7vujdS,0322,Risk-tolerant,Consensus-driven,balanced,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__B9RVowT,0849,Balanced,Directive,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__BAoFfHN,0978,Risk-seeking,Directive,balanced,compared_multiple,opponent,-140,340,pot_odds,1.0
texas-holdem_web__BCMwCF7,0970,Risk-tolerant,Deliberative,balanced,compared_multiple,player,120,240,hand_strength,1.0
texas-holdem_web__BGCsLNR,0889,Risk-tolerant,Intuitive,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__BMBNrT9,0205,Cautious,Analytical,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__BQdhbmL,0999,Risk-averse,Directive,risk_averse,quick_pick,player,70,240,hand_strength,1.0
texas-holdem_web__BSiJsEm,0990,Risk-averse,Deliberative,risk_averse,quick_pick,opponent,-20,100,pot_odds,1.0
texas-holdem_web__BT3VArC,0678,Balanced,Directive,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__BTmTptr,0596,Risk-tolerant,Intuitive,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__BYM6Tfo,0461,Cautious,Analytical,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__BZiP5xL,0363,Risk-seeking,Analytical,opportunistic,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Baow7Yf,0088,Risk-averse,Deliberative,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__BbAaycS,0021,Balanced,Analytical,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__BkPE3w2,0376,Risk-seeking,Directive,balanced,compared_multiple,player,200,400,hand_strength,1.0
texas-holdem_web__Bkr6WvK,0405,Cautious,Deliberative,balanced,compared_multiple,opponent,-60,180,hand_strength,1.0
texas-holdem_web__BnCM3f4,0157,Cautious,Consensus-driven,balanced,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__Bt64tjt,0230,Cautious,Consensus-driven,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__BtLRZxg,0674,Risk-averse,Consensus-driven,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__BwzVkFJ,0143,Risk-averse,Directive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__C2SmgkE,0632,Cautious,Intuitive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__C35UAUo,0652,Cautious,Directive,balanced,quick_pick,player,70,140,hand_strength,1.0
texas-holdem_web__C9RF4en,0682,Cautious,Intuitive,balanced,hesitant,opponent,-80,160,hand_strength,1.0
texas-holdem_web__CAR7B94,0765,Risk-tolerant,Consensus-driven,balanced,compared_multiple,tie,0,280,hand_strength,1.0
texas-holdem_web__CDycFcy,0532,Risk-averse,Directive,risk_averse,hesitant,player,60,120,hand_strength,1.0
texas-holdem_web__CGPKMiL,0977,Risk-tolerant,Deliberative,opportunistic,quick_pick,player,280,560,hand_strength,1.0
texas-holdem_web__CNeB25f,0631,Balanced,Directive,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__CQpwDan,0635,Balanced,Deliberative,balanced,compared_multiple,opponent,-50,130,hand_strength,1.0
texas-holdem_web__CXaAuWP,0101,Risk-tolerant,Deliberative,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__CaR4n6f,0280,Risk-tolerant,Directive,opportunistic,compared_multiple,player,160,320,hand_strength,1.0
texas-holdem_web__CeQi68C,0349,Cautious,Intuitive,balanced,compared_multiple,opponent,-80,220,pot_odds,1.0
texas-holdem_web__CgpBkND,0169,Balanced,Deliberative,balanced,deep_research,opponent,-80,220,hand_strength,1.0
texas-holdem_web__Ckxw6bX,0216,Cautious,Analytical,balanced,compared_multiple,player,120,240,hand_strength,1.0
texas-holdem_web__Cm9qDqd,0224,Balanced,Analytical,balanced,compared_multiple,opponent,-20,100,pot_odds,1.0
texas-holdem_web__CnZ3k2R,0265,Balanced,Deliberative,balanced,deep_research,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DJrqhh7,0749,Balanced,Deliberative,balanced,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__DLJhGo4,0544,Risk-seeking,Consensus-driven,risk_seeking,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__DTjRYdz,0740,Risk-seeking,Analytical,risk_seeking,compared_multiple,opponent,-190,440,hand_strength,1.0
texas-holdem_web__DVzcJFH,0728,Cautious,Analytical,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__Db5mwK8,0493,Cautious,Analytical,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__DjxTYL7,0741,Risk-averse,Intuitive,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__DoEMBQw,0189,Risk-averse,Analytical,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Dorbjkt,0881,Risk-averse,Intuitive,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DqGqgC4,0511,Risk-averse,Intuitive,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__DrECh7K,0890,Cautious,Analytical,balanced,deep_research,player,140,280,hand_strength,1.0
texas-holdem_web__DtPjbGa,0137,Risk-tolerant,Analytical,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__E42UZGT,0416,Risk-seeking,Deliberative,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__E4Fjjbk,0466,Risk-averse,Intuitive,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__E4JXSGJ,0310,Risk-tolerant,Analytical,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__E5THwU2,0898,Risk-seeking,Intuitive,balanced,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__EFZ5DWg,0597,Risk-tolerant,Analytical,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EJfpfXJ,0523,Balanced,Deliberative,balanced,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__EQefceJ,0024,Cautious,Consensus-driven,risk_averse,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__EXny27W,0152,Balanced,Deliberative,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__EZd3fNd,0333,Risk-tolerant,Consensus-driven,balanced,compared_multiple,player,520,1040,hand_strength,1.0
texas-holdem_web__Ebj7MdS,0778,Risk-tolerant,Intuitive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__Ei6EQFE,0904,Risk-tolerant,Intuitive,balanced,quick_pick,player,20,60,hand_strength,1.0
texas-holdem_web__EkRzMLB,0737,Balanced,Deliberative,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__EnSAERg,0766,Risk-seeking,Analytical,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__EoN6gAB,0887,Risk-tolerant,Deliberative,balanced,hesitant,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EoUaX3j,0410,Risk-seeking,Intuitive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EsJqBdq,0362,Risk-averse,Deliberative,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__EsKNXhW,0255,Risk-seeking,Deliberative,opportunistic,compared_multiple,player,70,220,hand_strength,1.0
texas-holdem_web__F5BrchY,0634,Risk-tolerant,Consensus-driven,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__F9s7SSh,0727,Risk-averse,Deliberative,balanced,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__FB5tZox,0507,Risk-averse,Directive,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__FGRSYAN,0672,Balanced,Intuitive,risk_averse,compared_multiple,opponent,-20,40,hand_strength,1.0
texas-holdem_web__FKUMgyJ,0953,Balanced,Analytical,opportunistic,compared_multiple,player,280,560,hand_strength,1.0
texas-holdem_web__FPMpbaf,0802,Risk-averse,Analytical,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FPNdDCJ,0886,Risk-tolerant,Intuitive,balanced,compared_multiple,tie,0,400,hand_strength,1.0
texas-holdem_web__FQV95hC,0568,Risk-averse,Deliberative,balanced,quick_pick,opponent,-10,30,pot_control,1.0
texas-holdem_web__FSWN7sX,0452,Risk-seeking,Directive,opportunistic,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__FTHMsBk,0603,Risk-tolerant,Deliberative,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FUaU3aR,0824,Risk-averse,Deliberative,risk_averse,hesitant,player,20,40,hand_strength,1.0
texas-holdem_web__FV8Sap2,0712,Risk-tolerant,Deliberative,balanced,hesitant,opponent,-80,220,hand_strength,1.0
texas-holdem_web__FYDVK3X,0481,Risk-averse,Analytical,risk_averse,compared_multiple,opponent,-80,160,hand_strength,1.0
texas-holdem_web__FcPeXPB,0951,Balanced,Directive,balanced,compared_multiple,player,140,280,hand_strength,1.0
texas-holdem_web__Fdhtzsr,0604,Cautious,Directive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FnAKMpw,0980,Risk-seeking,Directive,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__FvL8QS2,0371,Risk-tolerant,Analytical,balanced,quick_pick,opponent,-80,220,hand_strength,1.0
texas-holdem_web__FxJbpMQ,0569,Risk-averse,Directive,balanced,quick_pick,player,20,80,hand_strength,1.0
texas-holdem_web__G65L4e8,0398,Cautious,Consensus-driven,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__G7isKv3,0965,Risk-seeking,Directive,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
