attribute_name,attribute_label,attribute_type,value_type,allowed_values,module,schema_category,parents,required_context,source_of_distribution,constraint_type,is_core,description
subject_specialty,Subject specialty,categorical,categorical,"[""Machine learning"", ""Cardiology"", ""Constitutional law"", ""Quant trading"", ""Curriculum design"", ""Structural engineering"", ""Molecular biology"", ""Behavioral economics"", ""Comparative literature"", ""Operations"", ""Agronomy"", ""Robotics"", ""Investigative reporting"", ""Urban planning"", ""Culinary arts"", ""Electrical work""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Specific specialty within the domain.
domain_characteristics,Domain stance,categorical,categorical,"[""Cutting-edge researcher"", ""Practitioner"", ""Educator"", ""Student"", ""Hobbyist"", ""Skeptic / critic"", ""Cross-disciplinary""]",personality_psychometrics,Personality: Character,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Relationship to their field.
highest_education,Highest education,categorical,categorical,"[""No formal"", ""Primary"", ""Secondary"", ""Vocational / cert"", ""Bachelor's"", ""Master's"", ""Doctorate"", ""Postdoc""]",education,Learning: Academic,"[""country"", ""age_bucket"", ""gender""]",macro_profile,census/ACS/NCES/survey,local_conditional_macro,true,Highest level of formal education completed.
academic_field,Academic field,categorical,categorical,"[""STEM"", ""Medicine"", ""Law"", ""Business"", ""Humanities"", ""Social science"", ""Arts"", ""Interdisciplinary""]",education,Learning: Academic,"[""country"", ""age_bucket"", ""gender""]",macro_profile,census/ACS/NCES/survey,local_conditional_macro,false,Field of formal study.
institution_tier,Institution tier,categorical,categorical,"[""Top-tier research"", ""Mid-tier university"", ""Community college"", ""Online / bootcamp"", ""Self-taught"", ""Not applicable""]",education,Learning: Academic,"[""country"", ""age_bucket"", ""gender""]",macro_profile,census/ACS/NCES/survey,local_conditional_macro,false,Type/prestige of the educating institution.
research_output,Research output,categorical,categorical,"[""Prolific publisher"", ""Occasional author"", ""Industry whitepapers"", ""Thesis only"", ""None""]",work_career,Professional: Career,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,false,Scholarly/published footprint.
seniority,Seniority,categorical,categorical,"[""Student / intern"", ""Entry"", ""Mid"", ""Senior"", ""Lead / Principal"", ""Manager"", ""Director"", ""VP"", ""C-suite"", ""Founder"", ""Retired""]",work_career,Professional: Career,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,true,Career level (LinkedIn-style).
company_size,Company size,ordinal,ordered_bucket,"[""Solo / freelance"", ""Startup (<50)"", ""SMB (50–500)"", ""Mid (500–5k)"", ""Enterprise (5k+)"", ""Public sector"", ""Academia"", ""NGO""]",work_career,Professional: Industry,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,true,Size/type of employing organization.
role_function,Role function,categorical,categorical,"[""Engineering"", ""Product"", ""Research"", ""Design"", ""Sales / GTM"", ""Marketing"", ""Operations"", ""Finance"", ""HR"", ""Legal"", ""Clinical"", ""Teaching"", ""Executive""]",work_career,Professional: Industry,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,true,Job function.
years_experience,Years experience,ordinal,ordered_bucket,"[""0–2"", ""3–5"", ""6–10"", ""11–20"", ""20+""]",work_career,Professional: Career,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,true,Tenure in their field.
linkedin_activity,LinkedIn activity,categorical,categorical,"[""Thought leader"", ""Active networker"", ""Lurker"", ""Job seeker"", ""Recruiter"", ""Inactive""]",work_career,Professional: Career,"[""country"", ""age_bucket"", ""education_level"", ""employment_status""]",macro_profile,census/ACS/BLS/CPS/OES,local_conditional_macro,false,Professional-network behavior.
life_stage,Life stage,categorical,categorical,"[""Student"", ""Early career"", ""Parent of young kids"", ""Mid-life"", ""Career change"", ""Empty nester"", ""Retirement""]",household_family,Demographic: Life Events,"[""country"", ""age_bucket"", ""income_bucket""]",macro_profile,census/ACS/survey,local_conditional_macro,true,Current stage of life.
major_life_events,Major life events,categorical,categorical,"[""Migration / immigration"", ""Started a business"", ""Health journey"", ""Military service"", ""Caregiving"", ""Bereavement"", ""Major relocation"", ""None notable""]",household_family,Demographic: Life Events,"[""country"", ""age_bucket"", ""income_bucket""]",macro_profile,census/ACS/survey,local_conditional_macro,false,Defining experience shaping their outlook.
cultural_background,Cultural background,categorical,categorical,"[""Individualist (Western)"", ""Collectivist (East Asian)"", ""South Asian"", ""Latin"", ""African"", ""Middle Eastern"", ""Indigenous"", ""Mixed / diaspora""]",demographics,Demographic: Cultural,"[""country"", ""region""]",macro_profile,census/ACS/survey,local_conditional_macro,true,Cultural frame of reference.
tech_savviness,Tech savviness,categorical,categorical,"[""Digital native"", ""Comfortable"", ""Cautious adopter"", ""Reluctant"", ""Avoidant""]",technology_digital,Expertise: Domains,"[""age_bucket"", ""education_level"", ""occupation_family"", ""urbanicity"", ""income_bucket""]",macro_profile + skills/work/behavior evidence,survey/inferred behavior/model-derived,module_conditional,true,Comfort with technology.
dominant_trait,Dominant trait,ordinal,ordinal,"[""High openness"", ""High conscientiousness"", ""High extraversion"", ""High agreeableness"", ""High neuroticism"", ""Balanced""]",personality_psychometrics,Personality: Character,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Most pronounced Big-Five-style trait.
risk_tolerance,Risk tolerance,categorical,categorical,"[""Risk-averse"", ""Cautious"", ""Balanced"", ""Risk-tolerant"", ""Risk-seeking""]",risk_decision,Risk & Decision,"[""age_bucket"", ""income_bucket"", ""education_level"", ""personality""]",macro_profile + survey/behavioral evidence,survey/psychometric scale/model-derived,latent_factor_conditional,false,Appetite for risk.
decision_style,Decision style,categorical,categorical,"[""Analytical"", ""Intuitive"", ""Consensus-driven"", ""Directive"", ""Deliberative""]",risk_decision,Risk & Decision,"[""age_bucket"", ""income_bucket"", ""education_level"", ""personality""]",macro_profile + survey/behavioral evidence,survey/psychometric scale/model-derived,latent_factor_conditional,false,How they reach decisions.
values_priority,Core value,categorical,categorical,"[""Achievement"", ""Security"", ""Autonomy"", ""Community"", ""Novelty"", ""Tradition""]",values_beliefs,Values & Motivation,"[""country"", ""age_bucket"", ""education_level"", ""religion"", ""urbanicity""]",macro_profile + survey/behavioral evidence,WVS/GSS/Pew/survey,latent_factor_conditional,false,Top personal value.
political_lean,Political lean,categorical,categorical,"[""Left"", ""Center-left"", ""Center"", ""Center-right"", ""Right"", ""Apolitical""]",values_beliefs,Worldview: Beliefs,"[""country"", ""age_bucket"", ""education_level"", ""religion"", ""urbanicity""]",macro_profile + survey/behavioral evidence,WVS/GSS/Pew/survey,latent_factor_conditional,false,Broad political orientation.
religiosity,Religiosity,categorical,categorical,"[""Secular"", ""Spiritual"", ""Observant"", ""Devout"", ""Prefer not to say""]",values_beliefs,Values & Motivation,"[""country"", ""age_bucket"", ""education_level"", ""religion"", ""urbanicity""]",macro_profile + survey/behavioral evidence,WVS/GSS/Pew/survey,latent_factor_conditional,false,Relationship to religion.
neurotype,Neurotype,categorical,categorical,"[""Neurotypical"", ""ADHD"", ""Autistic"", ""Dyslexic"", ""Anxiety-prone"", ""Other""]",personality_psychometrics,Personality: MBTI,"[""age_bucket"", ""culture"", ""survey_population""]",macro_profile + survey/behavioral evidence,psychometric survey/model-derived,latent_factor_conditional,false,Cognitive profile.
emotional_state,Emotional state,categorical,categorical,"[""Calm"", ""Curious"", ""Frustrated"", ""Anxious"", ""Excited"", ""Skeptical"", ""Urgent""]",state_context,State: Emotional,"[""task"", ""session"", ""device_context""]",task/session,session/task context,task_context,false,Mood at the moment of interaction.
intent,Intent,categorical,categorical,"[""Learn / explain"", ""Get task done"", ""Brainstorm"", ""Debug / troubleshoot"", ""Decide"", ""Vent / support"", ""Probe / red-team"", ""Verify a claim""]",state_context,State: Emotional,"[""task"", ""session"", ""device_context""]",task/session,session/task context,task_context,false,What they want from the agent.
query_complexity,Query complexity,categorical,categorical,"[""Simple factual"", ""Multi-step"", ""Ambiguous / underspecified"", ""Adversarial"", ""Open-ended creative""]",state_context,State: Emotional,"[""task"", ""session"", ""device_context""]",task/session,session/task context,task_context,false,Shape of the request.
expertise_gap,Expertise gap,ordinal,ordinal,"[""Novice asking expert"", ""Peer-level"", ""Expert testing the system"", ""Teaching the model""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,Their expertise relative to the task.
tone_expected,Expected tone,categorical,categorical,"[""Concise"", ""Detailed"", ""Warm / empathetic"", ""Formal"", ""Playful"", ""Blunt""]",language_communication,Linguistic: Communication,"[""language"", ""education_level"", ""culture"", ""context""]",macro_profile,census/ACS/survey/inferred text,local_conditional_macro,false,Tone they want back.
trust_level,Trust level,categorical,categorical,"[""Trusting"", ""Verifying"", ""Skeptical"", ""Hostile""]",values_beliefs,Worldview: Beliefs,"[""country"", ""age_bucket"", ""education_level"", ""religion"", ""urbanicity""]",macro_profile + survey/behavioral evidence,WVS/GSS/Pew/survey,latent_factor_conditional,false,How much they trust the agent.
safety_sensitivity,Safety sensitivity,categorical,categorical,"[""Benign"", ""Sensitive personal"", ""High-stakes (medical/legal/financial)"", ""Potentially harmful"", ""Dual-use""]",values_beliefs,Worldview: Beliefs,"[""country"", ""age_bucket"", ""education_level"", ""religion"", ""urbanicity""]",macro_profile + survey/behavioral evidence,WVS/GSS/Pew/survey,latent_factor_conditional,false,Risk class of the request.
time_pressure,Time pressure,categorical,categorical,"[""No rush"", ""Moderate"", ""Deadline"", ""Emergency""]",lifestyle,Behavior: Time,"[""age_bucket"", ""household_type"", ""income_bucket"", ""occupation_family"", ""urbanicity""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Urgency of the need.
prior_context,Prior context,categorical,categorical,"[""Cold start"", ""Returning user"", ""Long ongoing project"", ""Frustrated re-ask""]",state_context,State: Emotional,"[""task"", ""session"", ""device_context""]",task/session,session/task context,task_context,false,History with the agent.
device_context,Device context,categorical,categorical,"[""Desktop, focused"", ""Mobile, on-the-go"", ""Voice assistant"", ""Accessibility tool"", ""Low-bandwidth""]",state_context,State: Emotional,"[""task"", ""session"", ""device_context""]",task/session,session/task context,task_context,false,Where/how they're interacting.
modality_pref,Modality preference,categorical,categorical,"[""Text"", ""Code"", ""Visual / diagram"", ""Tabular"", ""Step-by-step"", ""Examples-first""]",lifestyle,Behavior: Preferences,"[""age_bucket"", ""household_type"", ""income_bucket"", ""occupation_family"", ""urbanicity""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Preferred answer format.
accessibility_needs,Accessibility needs,categorical,categorical,"[""None"", ""Visual"", ""Hearing"", ""Motor"", ""Cognitive / neurodivergent"", ""Language barrier""]",lifestyle,Behavior: Preferences,"[""age_bucket"", ""household_type"", ""income_bucket"", ""occupation_family"", ""urbanicity""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Accommodations required.
learning_style,Learning style,categorical,categorical,"[""Visual"", ""Auditory"", ""Reading / writing"", ""Kinesthetic"", ""Mixed""]",education,Learning: Style,"[""country"", ""age_bucket"", ""gender""]",macro_profile,census/ACS/NCES/survey,local_conditional_macro,false,How they best absorb information.
media_diet,Media diet,categorical,categorical,"[""Academic journals"", ""News"", ""Social-media-heavy"", ""Long-form"", ""Video-first"", ""Minimal""]",media_culture,Behavior: Preferences,"[""age_bucket"", ""language"", ""education_level"", ""country""]",macro_profile + survey/behavioral evidence,survey/platform behavior/inferred,module_conditional,false,Primary information sources.
economic_motivation,Economic motivation,categorical,categorical,"[""Cost-sensitive"", ""Value-driven"", ""Premium-seeking"", ""Indifferent""]",income_finance,Values & Motivation,"[""country"", ""occupation_family"", ""education_level"", ""age_bucket"", ""household_type""]",macro_profile,census/ACS/CPS/consumer finance survey,local_conditional_macro,false,Spending posture.
fam_machine_learning,Familiarity: Machine learning,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Machine learning.
fam_deep_learning,Familiarity: Deep learning,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Deep learning.
fam_statistics,Familiarity: Statistics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Statistics.
fam_data_science,Familiarity: Data science,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Data science.
fam_cardiology,Familiarity: Cardiology,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Cardiology.
fam_neurology,Familiarity: Neurology,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Neurology.
fam_oncology,Familiarity: Oncology,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Oncology.
fam_pediatrics,Familiarity: Pediatrics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Pediatrics.
fam_psychiatry,Familiarity: Psychiatry,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Psychiatry.
fam_radiology,Familiarity: Radiology,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Radiology.
fam_surgery,Familiarity: Surgery,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Surgery.
fam_immunology,Familiarity: Immunology,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Immunology.
fam_constitutional_law,Familiarity: Constitutional law,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Constitutional law.
fam_contract_law,Familiarity: Contract law,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Contract law.
fam_criminal_law,Familiarity: Criminal law,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Criminal law.
fam_tax_law,Familiarity: Tax law,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Tax law.
fam_intellectual_property,Familiarity: Intellectual property,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Intellectual property.
fam_corporate_finance,Familiarity: Corporate finance,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Corporate finance.
fam_quantitative_trading,Familiarity: Quantitative trading,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Quantitative trading.
fam_accounting,Familiarity: Accounting,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Accounting.
fam_auditing,Familiarity: Auditing,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Auditing.
fam_macroeconomics,Familiarity: Macroeconomics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Macroeconomics.
fam_microeconomics,Familiarity: Microeconomics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Microeconomics.
fam_behavioral_economics,Familiarity: Behavioral economics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Behavioral economics.
fam_curriculum_design,Familiarity: Curriculum design,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Curriculum design.
fam_pedagogy,Familiarity: Pedagogy,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Pedagogy.
fam_special_education,Familiarity: Special education,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",education,Learning: Academic,"[""country"", ""age_bucket"", ""gender""]",macro_profile,census/ACS/NCES/survey,local_conditional_macro,false,How well the persona knows Special education.
fam_structural_engineering,Familiarity: Structural engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Structural engineering.
fam_mechanical_engineering,Familiarity: Mechanical engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Mechanical engineering.
fam_electrical_engineering,Familiarity: Electrical engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Electrical engineering.
fam_civil_engineering,Familiarity: Civil engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Civil engineering.
fam_chemical_engineering,Familiarity: Chemical engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Chemical engineering.
fam_aerospace_engineering,Familiarity: Aerospace engineering,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Aerospace engineering.
fam_robotics,Familiarity: Robotics,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Robotics.
fam_control_systems,Familiarity: Control systems,ordinal,ordinal,"[""Expert"", ""Proficient"", ""Familiar"", ""Aware"", ""None""]",expertise_skills,Expertise: Domains,"[""education_level"", ""occupation_family"", ""age_bucket"", ""digital_fluency""]",macro_profile + skills/work/behavior evidence,education/work profile/survey/model-derived,module_conditional,false,How well the persona knows Control systems.
