product_id,category,dimensions,populated_fields,emitted_fields,populated_rate,mean_populated_per_persona
amazon,Behavior: Time,3,21898,300000,0.07299333333333333,0.21898
amazon,Behavior: Work,2,8696,200000,0.04348,0.08696
amazon,Demographic: Core,25,110849,2500000,0.0443396,1.10849
amazon,Demographic: Cultural,2,2933,200000,0.014665,0.02933
amazon,Demographic: Family,1,9044,100000,0.09044,0.09044
amazon,Demographic: Life Events,24,69794,2400000,0.029080833333333334,0.69794
amazon,Developer: AI Adoption,8,82,800000,0.0001025,0.00082
amazon,Developer: AI Workflow Tasks,12,875,1200000,0.0007291666666666667,0.00875
amazon,Developer: Agent Adoption,11,570,1100000,0.0005181818181818181,0.0057
amazon,Developer: Code Maintenance,10,4296,1000000,0.004296,0.04296
amazon,Developer: Community Behavior,4,1379,400000,0.0034475,0.01379
amazon,Developer: Open Source Behavior,7,2234,700000,0.0031914285714285716,0.02234
amazon,Developer: Professional Context,6,42824,600000,0.07137333333333333,0.42824
amazon,Developer: Technology Evaluation,8,12037,800000,0.01504625,0.12037
amazon,Expertise: Domains,144,114158,14400000,0.007927638888888889,1.14158
amazon,Expertise: Skills,64,48767,6400000,0.00761984375,0.48767
amazon,Health: Fitness,2,12540,200000,0.0627,0.1254
amazon,Health: Lifestyle,2,5207,200000,0.026035,0.05207
amazon,Health: Physical,25,55316,2500000,0.0221264,0.55316
amazon,Interests: Culture,74,128564,7400000,0.017373513513513513,1.28564
amazon,Interests: Food,35,13409,3500000,0.003831142857142857,0.13409
amazon,Interests: Hobbies,50,19684,5000000,0.0039368,0.19684
amazon,Interests: Media,81,38997,8100000,0.004814444444444444,0.38997
amazon,Interests: Sports,40,27226,4000000,0.0068065,0.27226
amazon,Interests: Topics,78,214899,7800000,0.027551153846153847,2.14899
amazon,Learning: Academic,34,31512,3400000,0.009268235294117647,0.31512
amazon,Learning: Style,1,8956,100000,0.08956,0.08956
amazon,Linguistic: Communication,37,258520,3700000,0.06987027027027028,2.5852
amazon,Linguistic: Language,53,1148,5300000,0.00021660377358490566,0.01148
amazon,Personality: Big Five,50,200696,5000000,0.0401392,2.00696
amazon,Personality: Character,34,356893,3400000,0.10496852941176471,3.56893
amazon,Personality: MBTI,2,925,200000,0.004625,0.00925
amazon,Personality: Relationships,4,6410,400000,0.016025,0.0641
amazon,Professional: Career,4,14612,400000,0.03653,0.14612
amazon,Professional: Industry,51,18822,5100000,0.003690588235294118,0.18822
amazon,Risk & Decision,7,59672,700000,0.08524571428571429,0.59672
amazon,Skills: Programming,44,169,4400000,3.840909090909091e-05,0.00169
amazon,Skills: Tools,69,3821,6900000,0.000553768115942029,0.03821
amazon,State: Emotional,5,56788,500000,0.113576,0.56788
amazon,Values & Motivation,46,251286,4600000,0.05462739130434783,2.51286
amazon,Worldview: Beliefs,67,207570,6700000,0.030980597014925372,2.0757
stackoverflow,Behavior: Habits,30,11,3400050,3.2352465404920514e-06,9.705739621476155e-05
stackoverflow,Behavior: Preferences,34,244280,3853390,0.06339353141000521,2.1553800679401776
stackoverflow,Behavior: Time,3,750,340005,0.0022058499139718532,0.00661754974191556
stackoverflow,Behavior: Work,2,11984,226670,0.05286981073807738,0.10573962147615476
stackoverflow,Demographic: Core,25,428260,2833375,0.15114836546521374,3.7787091366303436
stackoverflow,Demographic: Cultural,2,2,226670,8.823399655887413e-06,1.7646799311774826e-05
stackoverflow,Demographic: Family,1,0,113335,0.0,0.0
stackoverflow,Demographic: Life Events,24,292990,2720040,0.10771532771576889,2.585167865178453
stackoverflow,Developer: AI Adoption,8,435691,906680,0.4805344774341554,3.844275819473243
stackoverflow,Developer: AI Workflow Tasks,12,808280,1360020,0.5943147894883899,7.131777473860678
stackoverflow,Developer: Agent Adoption,11,184404,1246685,0.1479154718312966,1.6270701901442626
stackoverflow,Developer: Code Maintenance,10,193436,1133350,0.17067631358362376,1.7067631358362376
stackoverflow,Developer: Community Behavior,4,222688,453340,0.4912163056425641,1.9648652225702563
stackoverflow,Developer: Open Source Behavior,7,34586,793345,0.04359515721407458,0.3051661004985221
stackoverflow,Developer: Professional Context,6,479335,680010,0.7048940456757988,4.229364274054793
stackoverflow,Developer: Technology Evaluation,8,278208,906680,0.3068425464331407,2.4547403714651255
stackoverflow,Expertise: Domains,144,785744,16320240,0.04814537041121944,6.9329333392156
stackoverflow,Expertise: Skills,64,435676,7253440,0.060064741694975075,3.844143468478405
stackoverflow,Health: Fitness,2,1,226670,4.4116998279437065e-06,8.823399655887413e-06
stackoverflow,Health: Lifestyle,2,0,226670,0.0,0.0
stackoverflow,Health: Physical,25,4801,2833375,0.0016944456699166189,0.04236114174791547
stackoverflow,Interests: Culture,74,144398,8386790,0.017217314371767982,1.2740812635108307
stackoverflow,Interests: Food,35,0,3966725,0.0,0.0
stackoverflow,Interests: Hobbies,50,4,5666750,7.058719724709931e-07,3.529359862354965e-05
stackoverflow,Interests: Media,81,0,9180135,0.0,0.0
stackoverflow,Interests: Sports,40,5,4533400,1.1029249569859266e-06,4.411699827943707e-05
stackoverflow,Interests: Topics,78,151500,8840130,0.01713775702393517,1.3367450478669431
stackoverflow,Learning: Academic,34,121982,3853390,0.03165576284777819,1.0762959368244585
stackoverflow,Learning: Style,1,40543,113335,0.3577270922486434,0.3577270922486434
stackoverflow,Linguistic: Communication,37,179300,4193395,0.04275771779190846,1.5820355583006132
stackoverflow,Linguistic: Language,53,36288,6006755,0.006041198617223443,0.32018352671284245
stackoverflow,Personality: Big Five,50,3870,5666750,0.0006829311333656858,0.03414655666828429
stackoverflow,Personality: Character,34,405209,3853390,0.10515649856360244,3.575320951162483
stackoverflow,Personality: MBTI,2,18,226670,7.941059690298671e-05,0.00015882119380597343
stackoverflow,Personality: Relationships,4,10405,453340,0.022951868354877135,0.09180747341950854
stackoverflow,Professional: Career,4,141212,453340,0.31149247805179336,1.2459699122071735
stackoverflow,Professional: Industry,51,270584,5780085,0.046813152401738035,2.3874707724886397
stackoverflow,Risk & Decision,7,91084,793345,0.11481007632240703,0.8036705342568492
stackoverflow,Skills: Programming,44,491014,4986740,0.09846392633263415,4.332412758635902
stackoverflow,Skills: Tools,69,819296,7820115,0.10476776876043382,7.228976044469935
stackoverflow,State: Emotional,5,46777,566675,0.0825464331406891,0.41273216570344556
stackoverflow,Values & Motivation,46,569984,5213410,0.10933036151002895,5.029196629461332
stackoverflow,Worldview: Beliefs,67,387065,7593445,0.050973569967254655,3.415229187806062
prism,Behavior: Habits,30,133,45000,0.0029555555555555555,0.08866666666666667
prism,Behavior: Preferences,34,8647,51000,0.16954901960784313,5.764666666666667
prism,Behavior: Time,3,37,4500,0.008222222222222223,0.024666666666666667
prism,Behavior: Work,2,667,3000,0.22233333333333333,0.44466666666666665
prism,Demographic: Core,25,18077,37500,0.48205333333333333,12.051333333333334
prism,Demographic: Cultural,2,1536,3000,0.512,1.024
prism,Demographic: Family,1,44,1500,0.029333333333333333,0.029333333333333333
prism,Demographic: Life Events,24,15275,36000,0.42430555555555555,10.183333333333334
prism,Developer: AI Adoption,8,8426,12000,0.7021666666666667,5.617333333333334
prism,Developer: AI Workflow Tasks,12,9929,18000,0.5516111111111112,6.6193333333333335
prism,Developer: Agent Adoption,11,5139,16500,0.31145454545454543,3.426
prism,Developer: Code Maintenance,10,3,15000,0.0002,0.002
prism,Developer: Community Behavior,4,274,6000,0.04566666666666667,0.18266666666666667
prism,Developer: Open Source Behavior,7,0,10500,0.0,0.0
prism,Developer: Professional Context,6,491,9000,0.05455555555555556,0.3273333333333333
prism,Developer: Technology Evaluation,8,5501,12000,0.45841666666666664,3.667333333333333
prism,Expertise: Domains,144,14754,216000,0.06830555555555555,9.836
prism,Expertise: Skills,64,3409,96000,0.03551041666666667,2.272666666666667
prism,Health: Fitness,2,62,3000,0.020666666666666667,0.04133333333333333
prism,Health: Lifestyle,2,26,3000,0.008666666666666666,0.017333333333333333
prism,Health: Physical,25,285,37500,0.0076,0.19
prism,Interests: Culture,74,7351,111000,0.06622522522522523,4.900666666666667
prism,Interests: Food,35,62,52500,0.001180952380952381,0.04133333333333333
prism,Interests: Hobbies,50,19,75000,0.00025333333333333333,0.012666666666666666
prism,Interests: Media,81,353,121500,0.0029053497942386833,0.23533333333333334
prism,Interests: Sports,40,103,60000,0.0017166666666666667,0.06866666666666667
prism,Interests: Topics,78,9119,117000,0.07794017094017094,6.0793333333333335
prism,Learning: Academic,34,3365,51000,0.06598039215686274,2.243333333333333
prism,Learning: Style,1,4,1500,0.0026666666666666666,0.0026666666666666666
prism,Linguistic: Communication,37,37078,55500,0.6680720720720721,24.718666666666667
prism,Linguistic: Language,53,4498,79500,0.05657861635220126,2.998666666666667
prism,Personality: Big Five,50,26295,75000,0.3506,17.53
prism,Personality: Character,34,22362,51000,0.4384705882352941,14.908
prism,Personality: MBTI,2,12,3000,0.004,0.008
prism,Personality: Relationships,4,1969,6000,0.32816666666666666,1.3126666666666666
prism,Professional: Career,4,2731,6000,0.45516666666666666,1.8206666666666667
prism,Professional: Industry,51,6461,76500,0.08445751633986928,4.307333333333333
prism,Risk & Decision,7,1371,10500,0.13057142857142856,0.914
prism,Skills: Programming,44,66,66000,0.001,0.044
prism,Skills: Tools,69,3076,103500,0.029719806763285023,2.050666666666667
prism,State: Emotional,5,5265,7500,0.702,3.51
prism,Values & Motivation,46,26059,69000,0.37766666666666665,17.372666666666667
prism,Worldview: Beliefs,67,16749,100500,0.16665671641791044,11.166
gss,Behavior: Habits,30,0,2270970,0.0,0.0
gss,Behavior: Preferences,34,0,2573766,0.0,0.0
gss,Behavior: Time,3,0,227097,0.0,0.0
gss,Behavior: Work,2,0,151398,0.0,0.0
gss,Demographic: Core,25,766826,1892475,0.405197426650286,10.12993566625715
gss,Demographic: Cultural,2,0,151398,0.0,0.0
gss,Demographic: Family,1,0,75699,0.0,0.0
gss,Demographic: Life Events,24,13960,1816776,0.0076839412233538976,0.18441458936049354
gss,Developer: AI Adoption,8,0,605592,0.0,0.0
gss,Developer: AI Workflow Tasks,12,0,908388,0.0,0.0
gss,Developer: Agent Adoption,11,0,832689,0.0,0.0
gss,Developer: Code Maintenance,10,0,756990,0.0,0.0
gss,Developer: Community Behavior,4,0,302796,0.0,0.0
gss,Developer: Open Source Behavior,7,0,529893,0.0,0.0
gss,Developer: Professional Context,6,0,454194,0.0,0.0
gss,Developer: Technology Evaluation,8,0,605592,0.0,0.0
gss,Expertise: Domains,144,0,10900656,0.0,0.0
gss,Expertise: Skills,64,0,4844736,0.0,0.0
gss,Health: Fitness,2,0,151398,0.0,0.0
gss,Health: Lifestyle,2,0,151398,0.0,0.0
gss,Health: Physical,25,58448,1892475,0.03088442383651039,0.7721105959127598
gss,Interests: Culture,74,0,5601726,0.0,0.0
gss,Interests: Food,35,0,2649465,0.0,0.0
gss,Interests: Hobbies,50,0,3784950,0.0,0.0
gss,Interests: Media,81,0,6131619,0.0,0.0
gss,Interests: Sports,40,0,3027960,0.0,0.0
gss,Interests: Topics,78,0,5904522,0.0,0.0
gss,Learning: Academic,34,75500,2573766,0.02933444609960657,0.9973711673866233
gss,Learning: Style,1,0,75699,0.0,0.0
gss,Linguistic: Communication,37,0,2800863,0.0,0.0
gss,Linguistic: Language,53,0,4012047,0.0,0.0
gss,Personality: Big Five,50,0,3784950,0.0,0.0
gss,Personality: Character,34,0,2573766,0.0,0.0
gss,Personality: MBTI,2,0,151398,0.0,0.0
gss,Personality: Relationships,4,0,302796,0.0,0.0
gss,Professional: Career,4,13960,302796,0.046103647340123385,0.18441458936049354
gss,Professional: Industry,51,0,3860649,0.0,0.0
gss,Risk & Decision,7,0,529893,0.0,0.0
gss,Skills: Programming,44,0,3330756,0.0,0.0
gss,Skills: Tools,69,0,5223231,0.0,0.0
gss,State: Emotional,5,0,378495,0.0,0.0
gss,Values & Motivation,46,65369,3482154,0.018772575825193257,0.8635384879588898
gss,Worldview: Beliefs,67,109280,5071833,0.02154645076050414,1.4436122009537775
